what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222122395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222130638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222140549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222151705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222168900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222231584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222274792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222284429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222296091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222309937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222316228
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477222322652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477222369904
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477222372246
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477222375191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222421326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222441955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222446984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477222469779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477222475086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477222485094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477222486536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222536495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222542414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222547992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222562030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222596083
error,log,,,"Unhandled event loop exception",1477222601711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477222607920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477222608080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222631749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222657166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222671782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222689970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222744079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222818822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477222843594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477222843677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1477222852582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1477222866824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222871026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477222890432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223019356
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1477223031317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223031388
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1477223032822
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1477223032835
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1477223032920
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1477223032922
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1477223032983
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1477223032999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223036059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223040193
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477223040895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223042425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223264621
error,log,,,"Unhandled event loop exception",1477223268833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223271586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223358849
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1477223361414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223366512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223391439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1477223391498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1477223391499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223396328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223672445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223682064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477223903090
